name,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,2007,"80,000","45,000 kms",Petrol
Mahindra Jeep CL550 MDI,2006,"4,25,000",40 kms,Diesel
Maruti Suzuki Alto 800 Vxi,2018,Ask For Price,"22,000 kms",Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,2014,"3,25,000","28,000 kms",Petrol
Ford EcoSport Titanium 1.5L TDCi,2014,"5,75,000","36,000 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,2015,Ask For Price,"59,000 kms",Diesel
Ford Figo,2012,"1,75,000","41,000 kms",Diesel
Hyundai Eon,2013,"1,90,000","25,000 kms",Petrol
Ford EcoSport Ambiente 1.5L TDCi,2016,"8,30,000","24,530 kms",Diesel
Maruti Suzuki Alto K10 VXi AMT,2015,"2,50,000","60,000 kms",Petrol
Skoda Fabia Classic 1.2 MPI,2010,"1,82,000","60,000 kms",Petrol
Maruti Suzuki Stingray VXi,2015,"3,15,000","30,000 kms",Petrol
Hyundai Elite i20 Magna 1.2,2014,"4,15,000","32,000 kms",Petrol
Mahindra Scorpio SLE BS IV,2015,"3,20,000","48,660 kms",Diesel
Hyundai Santro Xing XO eRLX Euro III,2007,"80,000","45,000 kms",Petrol
Mahindra Jeep CL550 MDI,2006,"4,25,000",40 kms,Diesel
Audi A8,2017,"10,00,000","4,000 kms",Petrol
Audi Q7,2014,"5,00,000","16,934 kms",Diesel
Mahindra Scorpio S10,2016,"3,50,000","43,000 kms",Diesel
Maruti Suzuki Alto 800,2014,"1,60,000","35,550 kms",Petrol
Mahindra Scorpio S10,2016,"3,50,000","43,000 kms",Diesel
Mahindra Scorpio S10,2016,"3,10,000","39,522 kms",Diesel
Maruti Suzuki Alto 800 Vxi,2015,"75,000","39,000 kms",Petrol
Hyundai i20 Sportz 1.2,2012,"1,00,000","55,000 kms",Petrol
Hyundai i20 Sportz 1.2,2012,"1,00,000","55,000 kms",Petrol
Hyundai i20 Sportz 1.2,2012,"1,00,000","55,000 kms",Petrol
Maruti Suzuki Alto 800 Lx,2017,"1,90,000","72,000 kms",Petrol
Maruti Suzuki Vitara Brezza ZDi,2016,"2,90,000","15,975 kms",Diesel
Maruti Suzuki Alto LX,2008,"95,000","70,000 kms",Petrol
Mahindra Bolero DI,2017,"1,80,000","23,452 kms",Diesel
Maruti Suzuki Swift Dzire ZDi,2014,"3,85,000","35,522 kms",Diesel
Mahindra Scorpio S10 4WD,2015,"2,50,000","48,508 kms",Diesel
Maruti Suzuki Swift Vdi BSIII,2017,"1,80,000","15,487 kms",Petrol
Maruti Suzuki Wagon R VXi BS III,2013,"1,05,000","39,000 kms",Petrol
Maruti Suzuki Wagon R VXi Minor,2013,"1,05,000","39,000 kms",Petrol
Toyota Innova 2.0 G 8 STR BS IV,2012,"6,50,000","82,000 kms",Diesel
Renault Lodgy 85 PS RXL,2018,"6,89,999","20,000 kms",Diesel
