,name,year,Price,kms_driven,fuel_type,company
0,Hyundai Santro Xing,2007,80000,45000,Petrol,Hyundai
1,Mahindra Jeep CL550,2006,425000,40,Diesel,Mahindra
2,Hyundai Grand i10,2014,325000,28000,Petrol,Hyundai
3,Ford EcoSport Titanium,2014,575000,36000,Diesel,Ford
4,Ford Figo,2012,175000,41000,Diesel,Ford
5,Hyundai Eon,2013,190000,25000,Petrol,Hyundai
6,Ford EcoSport Ambiente,2016,830000,24530,Diesel,Ford
7,Maruti Suzuki Alto,2015,250000,60000,Petrol,Maruti
8,Skoda Fabia Classic,2010,182000,60000,Petrol,Skoda
9,Maruti Suzuki Stingray,2015,315000,30000,Petrol,Maruti
10,Hyundai Elite i20,2014,415000,32000,Petrol,Hyundai
11,Mahindra Scorpio SLE,2015,320000,48660,Diesel,Mahindra
12,Hyundai Santro Xing,2007,80000,45000,Petrol,Hyundai
13,Mahindra Jeep CL550,2006,425000,40,Diesel,Mahindra
14,Audi A8,2017,1000000,4000,Petrol,Audi
15,Audi Q7,2014,500000,16934,Diesel,Audi
16,Mahindra Scorpio S10,2016,350000,43000,Diesel,Mahindra
17,Maruti Suzuki Alto,2014,160000,35550,Petrol,Maruti
18,Mahindra Scorpio S10,2016,350000,43000,Diesel,Mahindra
19,Mahindra Scorpio S10,2016,310000,39522,Diesel,Mahindra
20,Maruti Suzuki Alto,2015,75000,39000,Petrol,Maruti
21,Hyundai i20 Sportz,2012,100000,55000,Petrol,Hyundai
22,Hyundai i20 Sportz,2012,100000,55000,Petrol,Hyundai
23,Hyundai i20 Sportz,2012,100000,55000,Petrol,Hyundai
24,Maruti Suzuki Alto,2017,190000,72000,Petrol,Maruti
25,Maruti Suzuki Vitara,2016,290000,15975,Diesel,Maruti
26,Maruti Suzuki Alto,2008,95000,70000,Petrol,Maruti
27,Mahindra Bolero DI,2017,180000,23452,Diesel,Mahindra
28,Maruti Suzuki Swift,2014,385000,35522,Diesel,Maruti
29,Mahindra Scorpio S10,2015,250000,48508,Diesel,Mahindra
30,Maruti Suzuki Swift,2017,180000,15487,Petrol,Maruti
31,Maruti Suzuki Wagon,2013,105000,39000,Petrol,Maruti
32,Maruti Suzuki Wagon,2013,105000,39000,Petrol,Maruti
33,Toyota Innova 2.0,2012,650000,82000,Diesel,Toyota
